"N","S1","S2","S3","P1","P2","P3"
28,2,2,24,2.79637273069949e-06,2.84229040429934e-06,0.999994361336935
28,2,3,23,5.18659043678109e-06,2.4763709210788e-05,0.999970049700411
28,2,4,22,9.57362623850396e-06,0.000156212281599322,0.99983421409222
28,2,5,21,1.74228927958797e-05,0.000760510996793165,0.999222066110471
28,2,6,20,3.08573011421531e-05,0.00297494760711372,0.996994195091792
28,2,7,19,5.2413078553316e-05,0.00961432061126594,0.990333266310237
28,2,8,18,8.41524079058804e-05,0.0262030203240404,0.973712827268107
28,2,9,17,0.000126065958794135,0.0612033246059819,0.938670609435279
28,2,10,16,0.000174360552377186,0.124167915586014,0.87565772386165
28,2,11,15,0.000220914066742005,0.221422295139239,0.778356790794052
28,2,12,14,0.000255069399946003,0.351023820545613,0.648721110054482
28,2,13,13,0.000267595360818313,0.50048475155454,0.499247653084695
28,2,14,12,0.000254847185405104,0.649869967027994,0.349875185786643
28,2,15,11,0.000220537349887138,0.779276006869019,0.220503455781128
28,2,16,10,0.000173930684200746,0.876289813794272,0.12353625552157
28,2,17,9,0.000125676397467665,0.93904254121176,0.0608317823908279
28,2,18,8,8.38640960866767e-05,0.973898876292651,0.0260172596113161
28,2,19,7,5.22489176022995e-05,0.990411641444511,0.00953610963794281
28,2,20,6,3.08057348754787e-05,0.99702161917421,0.00294757509096188
28,2,21,5,1.74467947405052e-05,0.999229862574483,0.000752690630836483
28,2,22,4,9.62674943876466e-06,0.999835938250051,0.000154435000567241
28,2,23,3,5.23337751777731e-06,0.99997031199352,2.44546290194046e-05
28,2,24,2,2.82302088612467e-06,0.999994373322386,2.80365679755169e-06
28,2,25,1,1.51642480808278e-06,0.99999827649707,2.07078183958046e-07
28,2,26,0,8.12490545578768e-07,0.99999917989375,7.61576877437685e-09
28,3,0,25,7.60034334492958e-06,1.54027867648125e-08,0.999992384253937
28,3,1,24,1.36378400873229e-05,4.03478960077893e-07,0.999985958681008
28,3,2,23,2.43963678434591e-05,5.25664519881726e-06,0.999970346987018
28,3,3,22,4.35307924919122e-05,4.40678789694647e-05,0.999912401328578
28,3,4,21,7.71667938004988e-05,0.00026714858359207,0.999655684622661
28,3,5,20,0.000134661200263134,0.00124834735596141,0.99861699144381
28,3,6,19,0.000228386117482592,0.00468134862691097,0.995090265255654
28,3,7,18,0.000371040883092039,0.0144866915958645,0.985142267521085
28,3,8,17,0.000569154937404496,0.0377672307917686,0.961663614270867
28,3,9,16,0.000813737849171072,0.0843153303182306,0.914870931832646
28,3,10,15,0.00107312932372147,0.163427938118233,0.835498932558094
28,3,11,14,0.00129550199301122,0.27847857345972,0.720225924547296
28,3,12,13,0.00142477560055839,0.422273740041025,0.576301484358451
28,3,13,12,0.00142420309353121,0.577125482236984,0.421450314669519
28,3,14,11,0.00129396065415575,0.720932860923928,0.277773178421946
28,3,15,10,0.00107106066293861,0.836018039933352,0.162910899403759
28,3,16,9,0.000811657997384644,0.915196020900131,0.0839923211025324
28,3,17,8,0.000567487435702741,0.961836219065559,0.0375962934987758
28,3,18,7,0.000370026933346427,0.985219225881443,0.0144107471852511
28,3,19,6,0.000228051172466131,0.995118570238606,0.00465337858897534
28,3,20,5,0.000134830984472534,0.998625210021958,0.00123995899360309
28,3,21,4,7.75569129387485e-05,0.999657291144415,0.000265151942698863
28,3,22,3,4.3889586632812e-05,0.999912405460226,4.37049531806857e-05
28,3,23,2,2.46095644298667e-05,0.999970181116423,5.20931920719657e-06
28,3,24,1,1.37218921998852e-05,0.999985878572925,3.99534930308813e-07
28,3,25,0,7.62207485724075e-06,0.999992362684981,1.52402299628533e-08
28,4,0,24,5.17454470821866e-05,3.05342974084175e-08,0.999948224018671
28,4,1,23,8.94994054985699e-05,7.70392404945642e-07,0.999909730202147
28,4,2,22,0.000154100068706336,9.65525889158678e-06,0.999836244672452
28,4,3,21,0.000264194607922395,7.77654332214516e-05,0.999658039958907
28,4,4,20,0.000449193004954718,0.000452335861960615,0.999098471133137
28,4,5,19,0.000750627999276695,0.0020254491860049,0.997223922814764
28,4,6,18,0.00121741994046544,0.00726916048142188,0.991513419578164
28,4,7,17,0.00188915766049155,0.0215030324729918,0.976607809866564
28,4,8,16,0.00276501633166644,0.0535340868871233,0.943700896781251
28,4,9,15,0.00376862893205324,0.114053121419554,0.882178249648433
28,4,10,14,0.00473475591561532,0.210923774073541,0.784341470010863
28,4,11,13,0.00544397641341815,0.343102953389557,0.651453070197063
28,4,12,12,0.00570445153179335,0.497455960208572,0.49683958825968
28,4,13,11,0.00543997520967478,0.652024312601752,0.342535712188609
28,4,14,10,0.00472793961217921,0.784792880950356,0.210479179437484
28,4,15,9,0.00376086944818794,0.882481778106595,0.113757352445259
28,4,16,8,0.00275821668943742,0.943873751514607,0.0533680317959955
28,4,17,7,0.00188471962479622,0.976690256302742,0.0214250240725113
28,4,18,6,0.00121587398999396,0.991545253619512,0.00723887239054534
28,4,19,5,0.000751490165448201,0.997232611086222,0.00201589874837439
28,4,20,4,0.000451244218718983,0.999098804217502,0.000449951563831028
28,4,21,3,0.000266168524751932,0.999656519605856,7.73118694431147e-05
28,4,22,2,0.000155326019001756,0.999835080496899,9.59348414899032e-06
28,4,23,1,9.00037238606882e-05,0.999909231250979,7.65025210936753e-07
28,4,24,0,5.18869327007463e-05,0.999948082763661,3.03036898597039e-08
28,5,0,23,0.00027251299452974,5.98719221019213e-08,0.999727427133602
28,5,1,22,0.00045382657619276,1.45290782609248e-06,0.999544720516036
28,5,2,21,0.000751217260063983,1.74909382298336e-05,0.999231291801751
28,5,3,20,0.00123594065814869,0.000135137518272973,0.998628921823609
28,5,4,19,0.00201287775798125,0.000753009589360649,0.99723411265269
28,5,5,18,0.00321667406484376,0.00322572410716287,0.993557601828039
28,5,6,17,0.00498228650113817,0.0110611427300292,0.983956570768855
28,5,7,16,0.00737525049861389,0.0312268657902827,0.961397883711133
28,5,8,15,0.0102881651120603,0.0741281941393844,0.915583640748582
28,5,9,14,0.0133563082179259,0.150513613674783,0.836130078107318
